"","Return","rsi","sma","lma","adx"
"540","Down",35.5,198.9,184.6,24.9
"541","Down",31.8,198.6,185.1,24.8
"542","Up",28.5,198.2,185.6,24.5
"543","Up",26.9,197.7,186,24.3
"544","Up",41.2,197.5,186.6,23.4
"545","Up",49.2,197.2,187.4,21.8
"546","Up",55.1,196.9,188.2,20.3
"547","Down",74.9,197.2,189.2,20.2
"548","Down",63.1,197,190.1,20.1
"549","Down",51.6,196.1,190.8,18.9
"550","Up",41.1,194.8,191.3,18.2
"551","Up",49.6,193.7,191.8,17.5
"552","Down",54.1,192.7,192.5,16.4
"553","Up",45.8,191.9,192.9,15.8
"554","Down",47.2,191.4,193.3,15.3
"555","Up",37.4,190.8,193.4,15.6
"556","Down",41,191,193.5,16
"557","Up",37,190.6,193.6,16.3
"558","Up",34.7,190.2,193.7,16.8
"559","Up",40.3,189.9,193.7,16.5
"560","Up",41.7,189.7,193.8,16
"561","Up",42.7,189.6,193.9,15.6
"562","Down",44,189.5,193.8,15.3
"563","Up",36.7,189.3,193.6,15.6
"564","Down",34.3,188.8,193.2,16
"565","Up",28.8,188.1,192.8,16.8
"566","Down",40.6,187.5,192.6,16.9
"567","Up",36.3,186.2,192.4,16.6
"568","Up",53.4,185.5,192.3,16.4
"569","Down",58.6,185.2,192.2,15.5
"570","Up",54.8,185.1,192.1,14.7
"571","Down",53.3,184.8,191.9,14
"572","Down",41.3,184.1,191.7,14.4
"573","Down",31,183.5,191.3,15.1
"574","Down",28.2,182.8,190.9,16.1
"575","Down",24.7,182.5,190.4,17.4
"576","Down",16.4,181.7,189.7,19.3
"577","Up",13.4,180.9,189.1,21.4
"578","Up",26.3,180.3,188.4,23.2
"579","Down",37.6,179.7,187.7,24.1
"580","Down",29.6,178.8,186.8,25.2
"581","Down",21,177.6,185.8,27.3
"582","Down",18.9,176.2,184.7,29.6
"583","Down",17.2,175,183.7,30.9
"584","Down",15.2,173.6,182.7,32.5
"585","Down",13.6,172.1,181.9,34.1
"586","Down",12.6,170.4,181.2,35.7
"587","Up",10.3,168.6,180.3,37.5
"588","Down",15.4,166.7,179.4,39.2
"589","Up",12.3,164.5,178.5,40.9
"590","Up",19.5,162.5,177.5,42.5
"591","Up",20.8,160.5,176.7,43.3
"592","Up",19.6,158.6,175.8,44
"593","Down",20.6,156.9,175,44.7
"594","Up",19,155.2,174,45.6
"595","Up",37.8,153.7,173,45.8
"596","Up",41.3,152.5,172,45.6
"597","Up",60.7,151.6,170.9,44.1
"598","Down",64.3,150.6,169.9,42.5
"599","Up",51.8,149.3,168.9,41.6
"600","Down",65.9,148.4,168.3,39.9
"601","Up",49.8,147.6,167.3,38.4
"602","Up",55.5,147.1,166.4,37.4
"603","Up",60.6,146.7,165.6,35.8
"604","Up",66.6,146.7,164.9,33.4
"605","Up",65.1,146.9,164.3,31.2
"606","Down",70.6,147.2,163.7,29.5
"607","Up",64.1,147.7,163.2,28.5
"608","Up",73.2,148.4,162.7,27.7
"609","Down",76.2,149.5,162.3,27.6
"610","Up",53.4,150,161.7,25.7
"611","Down",59.7,150.7,161.1,24
"612","Down",48.3,151.1,160.4,23.2
"613","Up",44.5,151.4,159.8,22.9
"614","Up",45.2,151.8,159.2,22.6
"615","Up",53.9,152.4,158.7,21.3
"616","Down",53.3,152.9,158.2,20
"617","Up",49.9,153.2,157.6,18.9
"618","Up",52.3,153.5,157.1,17.9
"619","Up",54.7,154,156.5,17.2
"620","Up",55.7,154.4,156,16.6
"621","Up",66.6,155.2,155.5,17
"622","Up",70.7,155.9,155.1,17.7
"623","Up",79.5,156.7,154.9,18.9
"624","Up",88.2,157.5,154.8,20.4
"625","Down",90.3,158.3,154.6,21.9
"626","Up",87.4,158.9,154.6,22.9
"627","Up",83,159.5,154.6,23.7
"628","Up",88.5,160.1,154.7,25.4
"629","Down",86.1,160.6,154.7,27.1
"630","Up",66.3,161.4,154.7,27.5
"631","Up",63.8,161.9,154.8,27.2
"632","Up",67,162.8,155.1,27
"633","Down",67.7,163.9,155.4,26.9
"634","Down",46.3,164.7,155.6,25.5
"635","Down",39,165.1,155.9,23.9
"636","Down",34.5,165.5,156.2,22.5
"637","Up",26,165.8,156.5,21.9
"638","Down",25.3,166.1,156.8,21.4
"639","Down",19.3,166.1,157.2,21.7
"640","Down",11.3,165.8,157.3,23.1
"641","Up",6.4,164.9,157.3,25.2
"642","Up",16.1,164.1,157.3,27.3
"643","Up",15.6,163,157.3,28.9
"644","Up",18.7,161.9,157.4,30.3
"645","Up",18.2,160.7,157.5,31.7
"646","Up",27.9,159.7,157.5,32.1
"647","Up",31.9,158.8,157.5,31.8
"648","Down",40.6,157.6,157.5,31.5
"649","Down",37.3,156.4,157.5,31.2
"650","Down",34.5,155.3,157.4,31.3
"651","Up",31.4,154.1,157.4,31.6
"652","Up",31.4,152.7,157.3,32.1
"653","Up",45.7,151.5,157.3,32.1
"654","Up",46.3,150.5,157.1,31.8
"655","Down",45.7,149.5,157,31.5
"656","Down",37.4,148.5,156.7,31.6
"657","Up",29.5,147.6,156.5,32
"658","Down",37.3,146.7,156.1,32.4
"659","Down",32.6,145.8,155.7,32.9
"660","Up",18.2,145.1,155.3,34.5
"661","Down",16.5,144.7,154.9,36.1
"662","Up",13.5,144,154.5,37.8
"663","Up",28.1,143.6,154.2,39.4
"664","Down",27.3,143,153.9,40.7
"665","Up",24.3,142.4,153.5,42.1
"666","Down",32.7,141.8,153.1,43.3
"667","Up",28.6,141,152.6,44.4
"668","Up",28.2,140.2,152.2,45.6
"669","Up",46,139.6,151.8,45.4
"670","Up",50.6,139.1,151.4,44.1
"671","Up",51.6,138.8,150.9,43.1
"672","Up",53.8,138.4,150.3,42.4
"673","Up",53.2,137.9,149.8,41.7
"674","Up",76.1,137.7,149.2,39.3
"675","Up",87.1,137.9,148.8,38.6
"676","Down",93.2,138.8,148.7,39.4
"677","Up",88.6,139.6,148.5,40.3
"678","Down",92.1,140.8,148.4,41.6
"679","Up",83.5,141.9,148.2,43
"680","Up",83.8,143.4,148.1,43.7
"681","Up",85,145,148.1,44.4
"682","Up",84.9,146.6,148,45.1
"683","Down",85.4,148.2,148,45.9
"684","Up",78.4,149.8,148,46.4
"685","Up",74.5,151.4,148,46.5
"686","Down",74.5,152.9,148,46.6
"687","Down",60.7,154.4,148.1,43.7
"688","Down",41.7,155.7,148,41
"689","Up",33.5,156.8,148,38.2
"690","Up",32.6,157.9,148.2,35.5
"691","Up",50.8,159.3,148.6,34
"692","Up",48.8,160.6,149,33.1
"693","Down",49.6,162,149.4,31.8
"694","Up",38.8,163,149.7,30.2
"695","Up",45.6,163.6,150,28.8
"696","Down",58.7,163.9,150.4,28
"697","Up",53.2,164.2,150.7,27.2
"698","Up",52.7,164,150.9,26.2
"699","Down",52.3,164,151.3,25.4
"700","Down",41.8,163.8,151.5,23.6
"701","Down",22.9,163,151.7,24.1
"702","Up",17,162,151.7,25
"703","Up",22.2,161,151.7,26.1
"704","Up",29.5,160.2,151.8,26.5
"705","Up",30.9,159.4,151.9,26.4
"706","Up",30.8,158.7,152.1,26.2
"707","Up",32.7,158.1,152.3,25.9
"708","Up",46.2,157.8,152.5,24.6
"709","Down",48.5,157.7,152.8,23.3
"710","Up",44.4,157.4,153.1,22
"711","Down",48.7,156.9,153.5,20.8
"712","Down",44.9,156.4,153.9,20
"713","Up",34.7,155.6,154.2,20.1
"714","Down",36.9,155,154.4,20.3
"715","Up",30.2,154.2,154.7,20.9
"716","Up",27.1,153.1,154.9,21.6
"717","Up",31.9,152.2,155.1,22.1
"718","Up",30.4,151.4,155.4,22.6
"719","Up",37.1,150.6,155.6,22.5
"720","Up",52.4,150.1,155.9,21.5
"721","Up",62.3,150.2,156.2,20.3
"722","Up",72.8,150.8,156.6,20
"723","Up",73.2,151.2,157,20
"724","Up",78,151.6,157.4,20
"725","Up",87.5,152.1,157.6,21.3
"726","Up",91.6,152.8,157.7,22.6
"727","Up",91.8,153.5,157.8,24.1
"728","Down",94.6,154.1,157.8,25.7
"729","Down",84,154.6,157.9,27.6
"730","Down",78.9,155.2,157.9,29.3
"731","Up",71.7,155.7,157.8,30.3
"732","Up",74.5,156.3,157.8,30.5
"733","Up",75.7,157.3,157.8,30.9
"734","Up",77,158.3,157.8,30.1
"735","Up",78.6,159.5,157.9,29.9
"736","Down",78,160.7,158,29.5
"737","Up",54.7,161.7,158,28.3
